"# info about this run				",,,,,
nodes,width,height,iterations,periodic,time
81,200,200,200,1,10.9098
100,200,200,200,1,12.1067
124,200,200,200,1,12.196
4,400,400,200,1,1.03865
9,400,400,200,1,1.07451
16,400,400,200,1,1.34914
25,400,400,200,1,2.22674
36,400,400,200,1,3.58245
49,400,400,200,1,5.57388
64,400,400,200,1,7.57369
81,400,400,200,1,11.9319
100,400,400,200,1,12.1778
124,400,400,200,1,12.7568
4,100,100,200,1,0.519986
9,100,100,200,1,0.796665
16,100,100,200,1,1.19682
25,100,100,200,1,2.55421
36,100,100,200,1,4.96781
49,100,100,200,1,6.06338
64,100,100,200,1,7.21297
81,100,100,200,1,10.6796
100,100,100,200,1,12.3194
124,100,100,200,1,13.359
4,200,200,200,1,0.592562
9,200,200,200,1,0.798466
16,200,200,200,1,1.27453
25,200,200,200,1,2.12188
36,200,200,200,1,7.04975
49,200,200,200,1,6.26051
64,200,200,200,1,6.93661
81,200,200,200,1,10.0332
100,200,200,200,1,12.7962
124,200,200,200,1,13.5823
4,400,400,200,1,1.09445
9,400,400,200,1,1.18382
16,400,400,200,1,1.39083
25,400,400,200,1,2.19745
36,400,400,200,1,3.51099
49,400,400,200,1,6.72257
64,400,400,200,1,7.58766
81,400,400,200,1,10.9166
100,400,400,200,1,13.1069
124,400,400,200,1,12.8685
4,100,100,200,1,0.506235
9,100,100,200,1,0.768154
16,100,100,200,1,1.17404
25,100,100,200,1,2.23768
36,100,100,200,1,3.71904
49,100,100,200,1,5.58176
64,100,100,200,1,7.42546
81,100,100,200,1,10.0331
100,100,100,200,1,12.2118
124,100,100,200,1,11.9887
4,200,200,200,1,0.64162
9,200,200,200,1,0.766191
16,200,200,200,1,1.23461
25,200,200,200,1,1.95547
36,200,200,200,1,3.72723
49,200,200,200,1,5.503
64,200,200,200,1,7.91365
81,200,200,200,1,11.1919
100,200,200,200,1,12.0411
124,200,200,200,1,12.2641
4,400,400,200,1,1.12603
9,400,400,200,1,1.01979
16,400,400,200,1,1.41191
25,400,400,200,1,2.76372
36,400,400,200,1,4.01511
49,400,400,200,1,5.78853
64,400,400,200,1,7.99889
81,400,400,200,1,10.6306
100,400,400,200,1,11.964
124,400,400,200,1,13.2915
4,100,100,200,1,0.540791
9,100,100,200,1,0.753358
16,100,100,200,1,1.19379
25,100,100,200,1,2.36057
36,100,100,200,1,3.58793
49,100,100,200,1,5.59821
64,100,100,200,1,7.4629
81,100,100,200,1,10.8084
100,100,100,200,1,12.0608
124,100,100,200,1,14.4969
4,200,200,200,1,0.640083
9,200,200,200,1,0.949564
16,200,200,200,1,1.33349
25,200,200,200,1,2.01468
36,200,200,200,1,3.70944
49,200,200,200,1,5.6484
64,200,200,200,1,7.00468
81,200,200,200,1,10.0309
100,200,200,200,1,12.8798
124,200,200,200,1,13.1744
4,400,400,200,1,1.09859
9,400,400,200,1,1.22678
16,400,400,200,1,1.96771
25,400,400,200,1,2.15707
36,400,400,200,1,4.66606
49,400,400,200,1,5.693
64,400,400,200,1,8.34125
81,400,400,200,1,11.0035
100,400,400,200,1,12.1695
124,400,400,200,1,12.2376
4,100,100,200,1,0.495059
9,100,100,200,1,0.727225
16,100,100,200,1,1.16901
25,100,100,200,1,2.33433
36,100,100,200,1,3.6284
49,100,100,200,1,5.46092
64,100,100,200,1,7.44181
81,100,100,200,1,11.1889
100,100,100,200,1,12.1616
124,100,100,200,1,12.2218
4,200,200,200,1,0.691073
9,200,200,200,1,0.881196
16,200,200,200,1,1.2501
25,200,200,200,1,2.14372
36,200,200,200,1,3.8703
49,200,200,200,1,5.91644
64,200,200,200,1,7.47847
81,200,200,200,1,10.6296
100,200,200,200,1,12.3057
124,200,200,200,1,12.8481
4,400,400,200,1,1.25045
9,400,400,200,1,1.24741
16,400,400,200,1,1.41132
25,400,400,200,1,2.16264
36,400,400,200,1,3.57694
49,400,400,200,1,5.55962
64,400,400,200,1,7.64086
81,400,400,200,1,10.8876
100,400,400,200,1,12.6782
124,400,400,200,1,15.0024
4,100,100,200,1,0.564683
9,100,100,200,1,1.63349
16,100,100,200,1,1.6633
25,100,100,200,1,2.39933
36,100,100,200,1,7.4593
49,100,100,200,1,5.65906
64,100,100,200,1,6.96167
81,100,100,200,1,10.7799
100,100,100,200,1,12.9614
124,100,100,200,1,12.2111
4,200,200,200,1,0.590354
9,200,200,200,1,0.818823
