"# info about this run				",,,,,
nodes,width,height,iterations,periodic,time
16,5000,5000,50,1,7.16297
25,5000,5000,50,1,9.25703
36,5000,5000,50,1,6.85323
49,5000,5000,50,1,5.38249
64,5000,5000,50,1,4.70382
81,5000,5000,50,1,3.57305
100,5000,5000,50,1,3.00661
121,5000,5000,50,1,2.51126
16,10000,10000,50,1,37.9868
25,10000,10000,50,1,38.4468
36,10000,10000,50,1,27.494
8,1000,1000,50,1,0.749059
8,1000,1000,50,1,0.901994
8,2000,2000,50,1,2.4486
8,2000,2000,50,1,2.56111
8,5000,5000,50,1,14.688
8,5000,5000,50,1,14.4509
8,10000,10000,50,1,57.809
8,1000,1000,50,1,0.716178
8,1000,1000,50,1,0.692873
8,2000,2000,50,1,2.41811
8,2000,2000,50,1,2.44262
8,5000,5000,50,1,14.701
8,5000,5000,50,1,15.086
8,10000,10000,50,1,58.6616
8,10000,10000,50,1,58.8933
8,1000,1000,50,1,0.771401
8,1000,1000,50,1,0.7646
8,2000,2000,50,1,2.38534
8,2000,2000,50,1,2.454
8,5000,5000,50,1,20.7229
8,5000,5000,50,1,19.3711
8,10000,10000,50,1,58.6784
8,10000,10000,50,1,62.2594
8,1000,1000,50,1,0.94167
8,1000,1000,50,1,0.724821
8,2000,2000,50,1,2.45863
8,2000,2000,50,1,2.43518
8,5000,5000,50,1,14.5315
8,5000,5000,50,1,14.3854
8,10000,10000,50,1,58.2485
8,10000,10000,50,1,58.9442
8,1000,1000,50,1,0.733865
8,1000,1000,50,1,0.69831
8,2000,2000,50,1,2.45514
8,2000,2000,50,1,2.43748
8,5000,5000,50,1,14.6471
8,5000,5000,50,1,15.6006
8,10000,10000,50,1,60.6527
8,10000,10000,50,1,61.0614
8,1000,1000,50,1,0.817625
8,1000,1000,50,1,0.739206
8,2000,2000,50,1,2.47589
8,2000,2000,50,1,2.46003
8,5000,5000,50,1,14.4016
8,5000,5000,50,1,15.57
8,10000,10000,50,1,60.5792
8,10000,10000,50,1,59.3843
8,1000,1000,50,1,0.797635
8,1000,1000,50,1,0.675355
8,2000,2000,50,1,2.4143
8,2000,2000,50,1,2.48128
8,5000,5000,50,1,14.5117
8,5000,5000,50,1,14.9056
8,10000,10000,50,1,58.2191
8,10000,10000,50,1,60.1059
8,1000,1000,50,1,0.79096
8,1000,1000,50,1,0.717782
8,2000,2000,50,1,2.38731
8,2000,2000,50,1,2.43624
8,5000,5000,50,1,15.2022
8,5000,5000,50,1,14.8038
8,10000,10000,50,1,59.8289
8,10000,10000,50,1,60.2737
8,1000,1000,50,1,0.816336
8,1000,1000,50,1,0.750539
8,2000,2000,50,1,2.39857
8,2000,2000,50,1,2.46652
8,5000,5000,50,1,14.4855
8,5000,5000,50,1,14.7552
8,10000,10000,50,1,59.6257
8,10000,10000,50,1,59.8642
8,1000,1000,50,1,0.792809
8,1000,1000,50,1,0.712819
8,2000,2000,50,1,2.42076
8,2000,2000,50,1,2.43406
8,5000,5000,50,1,14.6608
8,5000,5000,50,1,14.8067
8,10000,10000,50,1,57.8539
8,10000,10000,50,1,58.2591
8,1000,1000,50,1,0.817379
8,1000,1000,50,1,0.722615
8,2000,2000,50,1,2.42792
8,2000,2000,50,1,2.41598
8,5000,5000,50,1,14.723
8,5000,5000,50,1,14.7236
8,10000,10000,50,1,57.2148
8,10000,10000,50,1,59.1287
8,1000,1000,50,1,1.06428
8,1000,1000,50,1,0.739913
8,2000,2000,50,1,2.44813
8,2000,2000,50,1,2.4239
8,5000,5000,50,1,16.3979
8,5000,5000,50,1,15.5037
8,10000,10000,50,1,58.5736
8,10000,10000,50,1,57.5899
8,1000,1000,50,1,0.732919
8,1000,1000,50,1,0.756895
8,2000,2000,50,1,2.41631
8,2000,2000,50,1,2.39519
8,5000,5000,50,1,14.3346
8,5000,5000,50,1,14.5004
8,10000,10000,50,1,68.5832
8,10000,10000,50,1,62.2203
8,1000,1000,50,1,0.790906
8,1000,1000,50,1,0.716545
8,2000,2000,50,1,2.42729
8,2000,2000,50,1,2.44583
8,5000,5000,50,1,15.5011
8,5000,5000,50,1,14.551
8,10000,10000,50,1,59.2313
8,10000,10000,50,1,60.7372
8,1000,1000,50,1,0.811401
8,1000,1000,50,1,0.726348
8,2000,2000,50,1,2.45024
8,2000,2000,50,1,2.43168
8,5000,5000,50,1,15.0188
8,5000,5000,50,1,14.4521
8,10000,10000,50,1,58.9907
8,10000,10000,50,1,58.9426
8,1000,1000,50,1,0.851555
8,1000,1000,50,1,0.719309
8,2000,2000,50,1,2.39426
8,2000,2000,50,1,2.48512
8,5000,5000,50,1,14.9972
8,5000,5000,50,1,15.3866
8,10000,10000,50,1,60.5894
8,10000,10000,50,1,59.5103
8,1000,1000,50,1,0.975122
8,1000,1000,50,1,0.75681
8,2000,2000,50,1,2.52214
8,2000,2000,50,1,2.49085
8,5000,5000,50,1,14.8403
8,5000,5000,50,1,14.5553
8,10000,10000,50,1,59.282
8,10000,10000,50,1,61.3625
8,1000,1000,50,1,0.868644
8,1000,1000,50,1,0.882871
8,2000,2000,50,1,2.46514
8,2000,2000,50,1,2.6025
8,5000,5000,50,1,15.0368
8,5000,5000,50,1,15.3948
8,10000,10000,50,1,59.4918
8,10000,10000,50,1,57.561
8,1000,1000,50,1,1.11626
8,1000,1000,50,1,0.720774
8,2000,2000,50,1,2.5001
8,2000,2000,50,1,2.44467
8,5000,5000,50,1,14.4556
8,5000,5000,50,1,15.3061
8,10000,10000,50,1,56.5769
8,10000,10000,50,1,57.94
8,1000,1000,50,1,0.787863
8,1000,1000,50,1,0.750306
8,2000,2000,50,1,2.426
8,2000,2000,50,1,2.46222
